type,state,startdate,enddate,pollster,grade,samplesize,population,poll_wt,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,url,poll_id,question_id,createddate
polls-plus,U.S.,10/20/16,10/24/16,Google Consumer Surveys,B,21240,lv,5.23722,38.54,33.87,6.37,,43.46984,39.98077,5.42696,,https://datastudio.google.com/u/0/#/org//reporting/0B29GVb5ISrT0TGk1TW5tVF9Ed2M/page/GsS,47407,74188,10/25/16
polls-plus,U.S.,10/20/16,10/25/16,Pew Research Center,B+,2120,rv,3.62327,46,40,6,,45.46572,41.28611,3.96004,,http://www.people-press.org/2016/10/27/as-election-nears-voters-divided-over-democracy-and-respect/,47616,74519,10/27/16
polls-plus,Florida,10/20/16,10/24/16,SurveyUSA,A,1251,lv,3.584933,48,45,2,,46.66093,44.43937,2.152259,,http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/10/25/florida_decides_polls_presidential_race.html#pdfs,47465,74252,10/25/16
polls-plus,U.S.,10/22/16,10/25/16,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1221,lv,3.56126,44,41,7,,44.91556,41.45449,6.522821,,http://www.foxnews.com/politics/interactive/2016/10/26/fox-news-poll-october-26-2016/,47542,74365,10/26/16
polls-plus,U.S.,10/25/16,10/27/16,ABC News/Washington Post,A+,956,lv,3.471576,47,45,4,,45.13807,43.87921,4.487876,,http://www.langerresearch.com/wp-content/uploads/1184a72016ElectionTrackingNo7.pdf,47711,74693,10/29/16
polls-plus,U.S.,10/23/16,10/27/16,Ipsos,A-,1158,lv,3.336728,41.7,36.4,6.3,,41.50746,36.54416,6.829343,,http://polling.reuters.com/#poll/TM651Y15_26/filters/LIKELY:1,47643,74599,10/28/16
polls-plus,U.S.,10/23/16,10/28/16,IBD/TIPP,A-,1013,lv,3.094674,44.5,40.6,6.8,,46.4475,40.39492,5.691272,,http://www.investors.com/politics/ibd-tipp-presidential-election-poll/,47710,74691,10/29/16
polls-plus,California,10/14/16,10/23/16,Public Policy Institute of California,A,1024,lv,2.942893,54,28,5,,55.75008,28.4429,3.482419,,http://www.ppic.org/content/pubs/survey/S_1016MBS.pdf,47545,74374,10/27/16
polls-plus,U.S.,10/20/16,10/24/16,GfK Group,B+,1212,lv,2.906411,51,37,6,,50.06537,38.5915,5.388251,,http://ap-gfkpoll.com/main/wp-content/uploads/2016/10/October-2016-AP-GfK-Poll-Topline_Campaign.pdf,47538,74345,10/26/16
polls-plus,Florida,10/21/16,10/24/16,Selzer & Company,A+,805,lv,2.832277,43,45,4,,43.09197,45.05888,3.394868,,http://www.bloomberg.com/politics/articles/2016-10-26/florida-poll,47469,74257,10/26/16
polls-plus,U.S.,10/22/16,10/28/16,USC Dornsife/LA Times,,3248,lv,2.831097,43.79,46.2,,,44.96176,42.85673,,,http://latimes.com/politics/,47709,74690,10/29/16
polls-plus,U.S.,10/25/16,10/27/16,The Times-Picayune/Lucid,,2627,lv,2.790349,43,40,6,,43.17611,41.6883,5.197191,,https://luc.id/2016-presidential-tracker/,47642,74580,10/28/16
polls-plus,U.S.,10/14/16,10/17/16,Selzer & Company,A+,1000,lv,2.767062,47,38,8,,47.35135,38.78726,6.621277,,http://www.bloomberg.com/politics/articles/2016-10-19/national-poll,47060,73636,10/19/16
polls-plus,Pennsylvania,10/23/16,10/25/16,Siena College,A,824,lv,2.750411,46,39,6,,45.94836,40.67811,4.661327,,http://www.nytimes.com/interactive/2016/10/27/upshot/pennsylvania-poll.html,47551,74386,10/27/16
polls-plus,U.S.,10/22/16,10/26/16,YouGov,B,1209,lv,2.644564,46,41,4,,45.8644,40.57212,5.509013,,https://today.yougov.com/news/2016/10/27/yougoveconomist-poll-october-22-26-2016/,47608,74499,10/27/16
polls-plus,Missouri,10/23/16,10/25/16,Remington,,2559,lv,2.629815,39,50,4,,38.77981,48.3838,4.718549,,http://themissouritimes.com/35001/greitens-trims-kosters-lead-trump-surges-missouri/,47615,74518,10/27/16
polls-plus,U.S.,10/25/16,10/26/16,Gravis Marketing,B-,1824,rv,2.62327,46,45,2,,46.0914,44.33711,2.589132,,http://www.breitbart.com/big-government/2016/10/27/exclusive-statistical-tie-latest-breitbartgravis-poll-shows-donald-trump-closes-gap-less-two-weeks-left/,47631,74547,10/27/16
polls-plus,New Hampshire,10/20/16,10/24/16,Marist College,A,768,lv,2.490402,45,36,10,,43.44728,37.21637,8.216395,,http://www.nbcnews.com/politics/first-read/polls-clinton-holds-9-point-lead-new-hampshire-tied-nevada-n673361,47539,74346,10/26/16
polls-plus,New Mexico,10/24/16,10/24/16,Zia Poll,,1899,lv,2.452991,45,40,9,,43.86783,38.76207,10.14425,,http://projects.fivethirtyeight.com/polls/20161027_NM.pdf,47612,74511,10/27/16
polls-plus,North Carolina,10/20/16,10/23/16,Siena College,A,792,lv,2.449693,46,39,8,,45.96018,40.9773,6.347651,,http://files.constantcontact.com/9c83fb30501/a28d624b-bd7e-46a7-a024-573e184bd3bb.pdf,47325,74046,10/25/16
polls-plus,Iowa,10/20/16,10/26/16,Quinnipiac University,A-,791,lv,2.424905,44,44,4,,44.30819,43.67757,3.291361,,https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397,47618,74522,10/27/16
polls-plus,Arizona,10/22/16,10/24/16,Saguaro Strategies,,2385,lv,2.424828,48,46,5,,46.11007,45.39856,4.544246,,https://www.scribd.com/document/329155539/Saguaro-Strategies-General-Election-Survey-October-22-24,47630,74546,10/27/16
polls-plus,U.S.,10/17/16,10/18/16,Quinnipiac University,A-,1007,lv,2.379798,47,40,7,,47.47656,40.20428,5.697605,,https://www.qu.edu/images/polling/us/us10192016_U29frgv.pdf,47078,73671,10/19/16
polls-plus,Minnesota,10/22/16,10/26/16,SurveyUSA,A,656,lv,2.36097,49,39,5,,47.64857,38.12958,5.465935,,http://www.surveyusa.com/client/PollReport.aspx?g=9749ea8d-a14e-4db8-bd3f-13cfb18c9d02,47712,74694,10/29/16
polls-plus,U.S.,10/25/16,10/27/16,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,2.347385,45,45,3,,45.62386,44.9732,3.239518,,http://www.rasmussenreports.com/public_content/politics/elections/election_2016/white_house_watch_oct28,47636,74556,10/28/16
polls-plus,U.S.,10/20/16,10/24/16,Suffolk University,B+,1000,lv,2.334264,47.4,37.6,3.9,,47.17565,38.49278,4.63045,,https://www.suffolk.edu/documents/SUPRC/10_26_2016_marginals.pdf,47530,74325,10/26/16
polls-plus,Texas,10/21/16,10/22/16,YouGov,B,1031,lv,2.332568,43,46,5,,42.87683,45.88748,6.195337,,https://today.yougov.com/news/2016/10/23/battlegrounds-presidential-race-tight-florida-and-/,47237,73920,10/23/16
polls-plus,Virginia,10/20/16,10/26/16,Quinnipiac University,A-,749,lv,2.292814,50,38,4,,50.30768,37.61394,3.291361,,https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397,47620,74524,10/27/16
polls-plus,Florida,10/20/16,10/25/16,University of North Florida,B+,819,lv,2.291173,43,39,6,,44.34986,41.22921,4.837658,,http://www.firstcoastnews.com/news/unf-poll-shows-clinton-holds-a-slight-lead-over-trump-in-florida/343029691,47549,74383,10/27/16
polls-plus,U.S.,10/20/16,10/21/16,Public Policy Polling,B+,990,lv,2.289632,46,40,5,,45.39328,40.26156,5.398599,,http://www.socialsecurityworks.org/wp-content/uploads/2016/10/NationalResults.pdf,47527,74321,10/26/16
polls-plus,Georgia,10/17/16,10/20/16,Time/Abt SRBI,A-,839,lv,2.288589,42,44,9,,42.13079,45.42866,6.799409,,http://politics.blog.ajc.com/2016/10/21/ajc-poll-trump-and-clinton-deadlocked-georgia/,47158,73792,10/21/16
polls-plus,Nevada,10/20/16,10/24/16,Marist College,A,707,lv,2.282215,43,43,10,,41.44242,44.06276,8.216395,,http://www.nbcnews.com/politics/first-read/polls-clinton-holds-9-point-lead-new-hampshire-tied-nevada-n673361,47540,74347,10/26/16
polls-plus,U.S.,10/21/16,10/24/16,NBC News/Wall Street Journal,A-,724,lv,2.268673,43,34,7,,42.46584,35.3097,5.67057,,http://fm.cnbc.com/applications/cnbc.com/resources/editorialfiles/2016/10/27/survey.pdf,47550,74505,10/27/16
polls-plus,Florida,10/21/16,10/22/16,YouGov,B,1042,lv,2.240082,46,43,3,,45.87737,42.90469,4.195337,,https://today.yougov.com/news/2016/10/23/battlegrounds-presidential-race-tight-florida-and-/,47236,73919,10/23/16
polls-plus,U.S.,10/20/16,10/23/16,CNN/Opinion Research Corp.,A-,779,lv,2.230256,49,44,3,,47.96181,42.50601,2.073222,,http://i2.cdn.turner.com/cnn/2016/images/10/24/cnn.poll.pdf,47314,74018,10/24/16
polls-plus,Georgia,10/20/16,10/26/16,Quinnipiac University,A-,707,lv,2.224238,43,44,8,,43.30725,43.55896,7.291361,,https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397,47617,74521,10/27/16
polls-plus,Florida,10/25/16,10/26/16,Public Policy Polling,B+,742,lv,2.205993,48,44,,,47.07674,43.09343,,,http://www.politico.com/states/f/?id=00000158-0ab5-d236-ad5d-dab74e5e0001,47637,74560,10/28/16
polls-plus,Idaho,10/21/16,10/23/16,Emerson College,B,1023,lv,2.200196,23,52,,,20.21075,48.37383,,,http://media.wix.com/ugd/3bebb2_06bcdf8a3e564f1ea6549d31229f4d73.pdf,47339,74075,10/25/16
polls-plus,U.S.,10/20/16,10/26/16,CVOTER International,C+,1363,lv,2.198363,48.84,46.95,,,46.30082,43.14877,,,http://www.upi.com/Top_News/US/2016/10/28/UPICVoter-poll-Clintons-lead-slips-below-2-percent/5601477668222/,47641,74572,10/28/16
polls-plus,Pennsylvania,10/20/16,10/22/16,Remington,,1997,lv,2.190934,45,42,5,,44.81676,40.83228,5.279784,,http://big.assets.huffingtonpost.com/PASTATEWIDE.pdf,47332,74066,10/25/16
polls-plus,Ohio,10/26/16,10/27/16,Emerson College,B,800,lv,2.160093,45,45,6,,44.78817,43.10942,5.988186,,http://projects.fivethirtyeight.com/polls/20161029_1.pdf,47757,74740,10/29/16
polls-plus,Vermont,10/24/16,10/26/16,"Political Marketing International, Inc./Red Racing Horses",B-,1052,lv,2.1592,52,26,5,,51.08523,25.69254,5.065681,,http://rrhelections.com/index.php/2016/10/28/rrh-elections-vermont-poll-phil-scott-r-leads-sue-minter-d-45-38-for-governor/,47640,74563,10/28/16
polls-plus,North Carolina,10/21/16,10/22/16,Public Policy Polling,B+,875,lv,2.151418,47,44,4,,46.36583,44.0662,4.523687,,http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NC_102416.pdf,47248,73936,10/24/16
polls-plus,Virginia,10/20/16,10/22/16,Remington,,1787,lv,2.151062,48,43,3,,47.81716,41.83973,3.279784,,http://big.assets.huffingtonpost.com/VASTATEWIDE.pdf,47331,74065,10/25/16
polls-plus,Ohio,10/20/16,10/22/16,Remington,,1971,lv,2.145951,42,46,4,,41.81882,44.87069,4.279784,,http://big.assets.huffingtonpost.com/OHSTATEWIDE.pdf,47330,74064,10/25/16
polls-plus,North Carolina,10/20/16,10/26/16,Quinnipiac University,A-,702,lv,2.115501,47,43,5,,47.30746,42.58671,4.291361,,https://poll.qu.edu/2016-presidential-swing-state-polls/release-detail?ReleaseID=2397,47619,74523,10/27/16
polls-plus,Colorado,10/20/16,10/22/16,Remington,,1581,lv,2.096628,45,43,5,,44.82202,41.93028,5.279784,,http://big.assets.huffingtonpost.com/COSTATEWIDE.pdf,47335,74069,10/25/16
polls-plus,North Carolina,10/20/16,10/22/16,Remington,,1764,lv,2.072522,44,47,3,,43.81509,45.80111,3.279784,,http://big.assets.huffingtonpost.com/NCSTATEWIDE.pdf,47333,74067,10/25/16
